Competition,Match,Date,Start Time,Innings,Over,Ball,Innings Ball,Batter,Batter ID,Bowler,Bowler ID,Runs,Extra Runs,Bowler Extra Runs,Extra,Penalty Runs,Runs Awarded To,Penalty,Ball Outcome,Line,Length,Shot,Feet,Secondary Feet,Connection,Delivery,Speed,Appeal Type,On-Field Decision,Referral Decision,Wicket,Dismissed Batter,FieldX,FieldY,ArrivalX,ArrivalY,Events,User Events,Around the Wicket,Keeper Up,Fielder1,Fielder1 Events,Fielder1 Position,Fielder2,Fielder2 Events,Fielder2 Position,Fielder3,Fielder3 Events,Fielder3 Position,Fielder4,Fielder4 Events,Fielder4 Position,Batting Hand,Bowler Type,Timestamp,Runs Saved or Lost,Toss Won By,Toss Decision,Ground End,Non-Striker,Non-Striker ID,Team Runs,Team Wickets,Batting Position,Power Play,Day,Session,Pitch Number,Umpire,Result,Winning Team,Losing Team,Batting Team,Bowling Team,Venue,North Boundary,South Boundary,East Boundary,West Boundary,User,Analysis Key Moment,Video Key Moment,Breaks,Temperature C,Humidity,Pressure hPa,Legal Ball,Actual Ball,Free Hit,Partnership Number,Cumulative Batter Balls,Cumulative Batter Runs,Bowling Spell,Bowling Over In Spell,Batter Coming In Over,Run Rate At Start,Run Rate After,Req Run Rate At Start,Req Run Rate After,PitchX,PitchY,ReleaseX,ReleaseY,ReleaseZ,ReleaseX External,ReleaseY External,ReleaseZ External,ReleaseY Vision AI,ReleaseZ Vision AI,BounceSpeed,StumpSpeed,DropSpeed,ImpactX,ImpactY,ImpactZ,LandingX,LandingY,Deviation,SwingAngle,DropAngle,BounceAngle,ReleaseAngle,ReleaseAccelerationY,ReleaseAccelerationZ,PastX,PastY,PastZ,Speed Radar,Speed External,Analyst Pitch Length,Analyst Pitch Line,External PitchX,External PitchY,Analyst Arrival Line,Analyst Arrival Height,Ball Type,Ball Colour,Pitchside Fielder 1 X,Pitchside Fielder 1 Y,Pitchside Fielder 2 X,Pitchside Fielder 2 Y,Pitchside Fielder 3 X,Pitchside Fielder 3 Y,Pitchside Fielder 4 X,Pitchside Fielder 4 Y,Pitchside Fielder 5 X,Pitchside Fielder 5 Y,Pitchside Fielder 6 X,Pitchside Fielder 6 Y,Pitchside Fielder 7 X,Pitchside Fielder 7 Y,Pitchside Fielder 8 X,Pitchside Fielder 8 Y,Pitchside Fielder 9 X,Pitchside Fielder 9 Y
County Championship,County 1 v County 2,18/04/2025,11:00 UTC+0,1,13,1,73,Player 5,batter-005,Player 6,bowler-006,1,0,0,,,,,,Outside Leg,Good Length,Missed,,,,Seam,85.99,,,,,,,,118.4,77.8,,,Yes,No,,,,,,,,,,,,,LHB,RFM,20250418 11:00:00.000,,County 1,Bat,Pavilion,,,56,4,5,,1,1,,,County 2 won by 6 wickets,,,County 1,County 2,Example Ground,,,,,,,,,,,,Yes,1,No,5,1,1,1,1,,,,,,6.77,-0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County Championship,County 1 v County 2,18/04/2025,11:00 UTC+0,1,13,2,74,Player 5,batter-005,Player 6,bowler-006,4,0,0,,,,,,Leg Stump,Back of Length,Defended,,,,Seam,81.32,,,,,,,,-37.3,81.3,,,Yes,No,,,,,,,,,,,,,LHB,RFM,20250418 11:00:00.000,,County 1,Bat,Pavilion,,,60,4,5,,1,1,,,County 2 won by 6 wickets,,,County 1,County 2,Example Ground,,,,,,,,,,,,Yes,2,No,5,2,5,1,1,,,,,,8.21,-0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County Championship,County 1 v County 2,18/04/2025,11:00 UTC+0,1,13,3,75,Player 5,batter-005,Player 6,bowler-006,4,0,0,,,,,,Middle and Leg,Full,Swept,,,,Seam,78.74,,,,,,,,-36.7,139.0,,,No,No,,,,,,,,,,,,,LHB,RFM,20250418 11:00:00.000,,County 1,Bat,Pavilion,,,64,4,5,,1,1,,,County 2 won by 6 wickets,,,County 1,County 2,Example Ground,,,,,,,,,,,,Yes,3,No,5,3,9,1,1,,,,,,2.14,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County Championship,County 1 v County 2,18/04/2025,11:00 UTC+0,1,13,4,76,Player 5,batter-005,Player 6,bowler-006,0,0,0,,,,,,Middle Stump,Short,Leave,,,,Seam,85.21,,,,,,,,30.4,108.4,,,No,No,,,,,,,,,,,,,LHB,RFM,20250418 11:00:00.000,,County 1,Bat,Pavilion,,,64,4,5,,1,1,,,County 2 won by 6 wickets,,,County 1,County 2,Example Ground,,,,,,,,,,,,Yes,4,No,5,4,9,1,1,,,,,,10.19,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County Championship,County 1 v County 2,18/04/2025,11:00 UTC+0,1,13,5,77,Player 5,batter-005,Player 6,bowler-006,1,0,0,,,,,,Middle and Off,Short,Missed,,,,Seam,75.51,,,,,,,,34.5,111.7,,,Yes,No,,,,,,,,,,,,,LHB,RFM,20250418 11:00:00.000,,County 1,Bat,Pavilion,,,65,4,5,,1,1,,,County 2 won by 6 wickets,,,County 1,County 2,Example Ground,,,,,,,,,,,,Yes,5,No,5,5,10,1,1,,,,,,9.56,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County Championship,County 1 v County 2,18/04/2025,11:00 UTC+0,1,13,6,78,Player 5,batter-005,Player 6,bowler-006,0,0,0,,,,,,Outside Off,Yorker,Cut,,,,Seam,80.97,,,,,,,,12.7,118.3,,,Yes,No,,,,,,,,,,,,,LHB,RFM,20250418 11:00:00.000,,County 1,Bat,Pavilion,,,65,4,5,,1,1,,,County 2 won by 6 wickets,,,County 1,County 2,Example Ground,,,,,,,,,,,,Yes,6,No,5,6,10,1,1,,,,,,1.46,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County Championship,County 1 v County 2,18/04/2025,11:00 UTC+0,1,14,1,79,Player 5,batter-005,Player 7,bowler-007,0,0,0,,,,,,Middle and Leg,Short,Missed,,,,Spin,58.61,,,,,,,,90.6,56.3,,,No,No,,,,,,,,,,,,,LHB,LOB,20250418 11:00:00.000,,County 1,Bat,Pavilion,,,65,4,5,,1,1,,,County 2 won by 6 wickets,,,County 1,County 2,Example Ground,,,,,,,,,,,,Yes,1,No,5,7,10,1,2,,,,,,10.25,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County Championship,County 1 v County 2,18/04/2025,11:00 UTC+0,1,14,2,80,Player 5,batter-005,Player 7,bowler-007,1,0,0,,,,,,Middle and Leg,Short,Drive,,,,Spin,60.6,,,,,,,,121.0,34.1,,,No,No,,,,,,,,,,,,,LHB,LOB,20250418 11:00:00.000,,County 1,Bat,Pavilion,,,66,4,5,,1,1,,,County 2 won by 6 wickets,,,County 1,County 2,Example Ground,,,,,,,,,,,,Yes,2,No,5,8,11,1,2,,,,,,9.52,-0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County Championship,County 1 v County 2,18/04/2025,11:00 UTC+0,1,14,3,81,Player 5,batter-005,Player 7,bowler-007,0,0,0,,,,,,Outside Off,Back of Length,Drive,,,,Spin,56.43,,,,,,,,-26.4,115.7,,,No,No,,,,,,,,,,,,,LHB,LOB,20250418 11:00:00.000,,County 1,Bat,Pavilion,,,66,4,5,,1,1,,,County 2 won by 6 wickets,,,County 1,County 2,Example Ground,,,,,,,,,,,,Yes,3,No,5,9,11,1,2,,,,,,7.81,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County Championship,County 1 v County 2,18/04/2025,11:00 UTC+0,1,14,4,82,Player 5,batter-005,Player 7,bowler-007,4,0,0,,,,,,Middle Stump,Full,Defended,,,,Spin,59.16,,,,,,,,48.1,93.8,,,No,No,,,,,,,,,,,,,LHB,LOB,20250418 11:00:00.000,,County 1,Bat,Pavilion,,,70,4,5,,1,1,,,County 2 won by 6 wickets,,,County 1,County 2,Example Ground,,,,,,,,,,,,Yes,4,No,5,10,15,1,2,,,,,,3.08,-0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
