Competition,Match,Date,Start Time,Innings,Over,Ball,Innings Ball,Batter,Batter ID,Bowler,Bowler ID,Runs,Extra Runs,Bowler Extra Runs,Extra,Penalty Runs,Runs Awarded To,Penalty,Ball Outcome,Line,Length,Shot,Feet,Secondary Feet,Connection,Delivery,Speed,Appeal Type,On-Field Decision,Referral Decision,Wicket,Dismissed Batter,FieldX,FieldY,ArrivalX,ArrivalY,Events,User Events,Around the Wicket,Keeper Up,Fielder1,Fielder1 Events,Fielder1 Position,Fielder2,Fielder2 Events,Fielder2 Position,Fielder3,Fielder3 Events,Fielder3 Position,Fielder4,Fielder4 Events,Fielder4 Position,Batting Hand,Bowler Type,Timestamp,Runs Saved or Lost,Toss Won By,Toss Decision,Ground End,Non-Striker,Non-Striker ID,Team Runs,Team Wickets,Batting Position,Power Play,Day,Session,Pitch Number,Umpire,Result,Winning Team,Losing Team,Batting Team,Bowling Team,Venue,North Boundary,South Boundary,East Boundary,West Boundary,User,Analysis Key Moment,Video Key Moment,Breaks,Temperature C,Humidity,Pressure hPa,Legal Ball,Actual Ball,Free Hit,Partnership Number,Cumulative Batter Balls,Cumulative Batter Runs,Bowling Spell,Bowling Over In Spell,Batter Coming In Over,Run Rate At Start,Run Rate After,Req Run Rate At Start,Req Run Rate After,PitchX,PitchY,ReleaseX,ReleaseY,ReleaseZ,ReleaseX External,ReleaseY External,ReleaseZ External,ReleaseY Vision AI,ReleaseZ Vision AI,BounceSpeed,StumpSpeed,DropSpeed,ImpactX,ImpactY,ImpactZ,LandingX,LandingY,Deviation,SwingAngle,DropAngle,BounceAngle,ReleaseAngle,ReleaseAccelerationY,ReleaseAccelerationZ,PastX,PastY,PastZ,Speed Radar,Speed External,Analyst Pitch Length,Analyst Pitch Line,External PitchX,External PitchY,Analyst Arrival Line,Analyst Arrival Height,Ball Type,Ball Colour,Pitchside Fielder 1 X,Pitchside Fielder 1 Y,Pitchside Fielder 2 X,Pitchside Fielder 2 Y,Pitchside Fielder 3 X,Pitchside Fielder 3 Y,Pitchside Fielder 4 X,Pitchside Fielder 4 Y,Pitchside Fielder 5 X,Pitchside Fielder 5 Y,Pitchside Fielder 6 X,Pitchside Fielder 6 Y,Pitchside Fielder 7 X,Pitchside Fielder 7 Y,Pitchside Fielder 8 X,Pitchside Fielder 8 Y,Pitchside Fielder 9 X,Pitchside Fielder 9 Y
County v UCCE,Team A v Team B,18/03/2026,11:00 UTC+0,1,1,1,1,Player 1,41582832-bee2-4290-b2cf-aafcd21bf346,Player 20,43fc5e5c-1af5-416d-b18d-999ccb6e1874,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,RHB,RM,20260318 10:59:44.377,0,Team B,Bowl,Pavilion,Player 2,b6efdbb2-f63f-47d1-8dcb-4c50a57ce9ff,1,0,1,,1,1,,Umpire A,Match Drawn,,,Team A,Team B,Example Ground,,,,,analyst,,,,,,,Yes,1,No,1,1,1,1,1,1,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County v UCCE,Team A v Team B,18/03/2026,11:00 UTC+0,1,1,2,2,Player 2,a6eedffd-b2a5-4064-a0cd-e511a4ecf967,Player 20,4bd145f7-ce36-4dcc-9c3d-e00a8b265b82,1,0,0,,,,,,Leg Wide,Short,Drop and Run,Back Foot,,Middled,No Movement,,,,,,,85,153,-40.79823009,130.77100682680145,,,No,No,,,,,,,,,,,,,LHB,RM,20260318 11:00:14.017,0,Team B,Bowl,Pavilion,Player 1,9866646f-d8bf-4d3d-b701-7a3af7a65f29,2,0,2,,1,1,,Umpire A,Match Drawn,,,Team A,Team B,Example Ground,,,,,analyst,,,,,,,Yes,2,No,1,1,1,1,1,1,6,6,,,9.076,-0.646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.076,-0.646,,,-0.354767218,1.1371391897982734,,,,,,,,,,,,,,,,,,,,
County v UCCE,Team A v Team B,18/03/2026,11:00 UTC+0,1,1,3,3,Player 1,649746d3-2259-4fee-917b-564e5bcbc53d,Player 20,32777fd5-be1e-4b5b-be06-a3ad7032ce2b,4,0,0,,,,,,Leg Wide,Length,Leg Glance,Front Foot,,Thick Edge,No Movement,,,,,,,231,7,76.99292035398275,62.97486018,,,No,No,,,,,,,,,,,,,RHB,RM,20260318 11:01:43.233,0,Team B,Bowl,Pavilion,Player 2,ec6e1d55-0111-40a7-a267-a4f7937a6005,6,0,1,,1,1,,Umpire A,Match Drawn,,,Team A,Team B,Example Ground,,,,,analyst,,,,,,,Yes,3,No,1,2,5,1,1,1,6,12,,,5.674,0.818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.674,0.818,,,0.6695036552520239,0.5476074797999235,,,,,,,,,,,,,,,,,,,,
County v UCCE,Team A v Team B,18/03/2026,11:00 UTC+0,1,1,4,4,Player 1,c75abf54-ebf6-4646-a72d-49ed11d3a464,Player 20,8c085a45-3ac6-42cf-9602-cd394fea1638,1,0,0,,,,,,Off,Back Of Length,Leg Glance,Front Foot,,Middled,Seam In,,,,,,,307,167,36.893805309734944,87.45680202,,,No,No,,,,,,,,,,,,,RHB,RM,20260318 11:01:43.327,0,Team B,Bowl,Pavilion,Player 2,e12458dc-2514-4953-812a-b767cf8c80c4,7,0,1,,1,1,,Umpire A,Match Drawn,,,Team A,Team B,Example Ground,,,,,analyst,,,,,,,Yes,4,No,1,3,6,1,1,1,12,10.5,,,7.488,-0.432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.488,-0.432,,,0.3208156983455212,0.7604939306326608,,,,,,,,,,,,,,,,,,,,
County v UCCE,Team A v Team B,18/03/2026,11:00 UTC+0,1,1,5,5,Player 2,353859f9-ea5f-4366-a5e2-a0691817f636,Player 20,65ab48d5-ce87-4f3e-8118-497813ca8e01,0,1,1,Wide,,,,,Line,Short,No Shot,Back Foot,,Left,Seam Away,,,,,,,182,106,119.59823008849617,136.42068571428555,,,No,No,,,,,,,,,,,,,LHB,RM,20260318 11:02:24.517,0,Team B,Bowl,Pavilion,Player 1,9a84a16c-c260-43b7-8e20-9e71f394e81c,8,0,2,,1,1,,Umpire A,Match Drawn,,,Team A,Team B,Example Ground,,,,,analyst,,,,,,,No,5,No,1,1,1,1,1,1,10.5,12,,,8.796,0.219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.796,0.219,,,1.039984609465184,1.1862668322981351,,,,,,,,,,,,,,,,,,,,
County v UCCE,Team A v Team B,18/03/2026,11:00 UTC+0,1,1,6,5,Player 2,c8c42e67-b303-4f0f-b63d-6fa5dd502dd9,Player 20,8ea4e3a4-9779-43bd-8821-377c154ff488,0,0,0,,,,,,Leg,Length,Forward Defence,Front Foot,,Middled,No Movement,,,,,,,198,221,9.325663716814688,64.85808647281902,,,No,No,,,,,,,,,,,,,LHB,RM,20260318 11:03:04.687,0,Team B,Bowl,Pavilion,Player 1,d9d4d334-d2c9-470b-a16f-0416bd7e1942,8,0,2,,1,1,,Umpire A,Match Drawn,,,Team A,Team B,Example Ground,,,,,analyst,,,,,,,Yes,5,No,1,2,1,1,1,1,12,9.6,,,5.985,-0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.985,-0.036,,,0.081092728,0.5639833606332089,,,,,,,,,,,,,,,,,,,,
County v UCCE,Team A v Team B,18/03/2026,11:00 UTC+0,1,1,7,6,Player 2,06483672-a53f-4a61-872b-0358f2d0bcac,Player 20,a7887e2d-04bb-4f56-9ed8-5777d5482b60,0,0,0,,,,,,Off,Short,Back Defence,Back Foot,,Middled,No Movement,,,,,,,144,188,16.84424778761104,132.6542331226296,"Around the Wicket,Keeper Up",,Yes,Yes,,,,,,,,,,,,,LHB,RM,20260318 11:03:35.607,0,Team B,Bowl,Pavilion,Player 1,1ba5717a-ff5e-4eef-b12f-361d19d69e21,8,0,2,,1,1,,Umpire A,Match Drawn,,,Team A,Team B,Example Ground,,,,,analyst,,,,,,,Yes,6,No,1,3,1,1,1,1,9.6,8,,,9.076,0.302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.076,0.302,,,0.1464717198922699,1.1535150706315616,,,,,,,,,,,,,,,,,,,,
County v UCCE,Team A v Team B,18/03/2026,11:00 UTC+0,1,2,1,7,Player 1,1a288446-e5b5-4156-9d75-66b04507a003,Player 22,0a3f5e13-48ab-4897-93a8-e1f1e22c6a6c,0,0,0,,,,,,Off,Back Of Length,Off Side Drive,Back Foot,,Middled,No Movement,,,,,,,123,205,-45.81061947,115.70519646017692,,,No,No,,,,,,,,,,,,,RHB,RFM,20260318 11:05:17.74,0,Team B,Bowl,Bennett,Player 2,a31a0621-003c-4337-a3bc-fa5f6dc6b25f,8,0,1,,1,1,,Umpire A,Match Drawn,,,Team A,Team B,Example Ground,,,,,analyst,,,,,,,Yes,1,No,1,4,6,1,1,1,8,6.86,,,7.488,-0.341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.488,-0.341,,,-0.398353213,1.0061321431319732,,,,,,,,,,,,,,,,,,,,
County v UCCE,Team A v Team B,18/03/2026,11:00 UTC+0,1,2,2,8,Player 1,9add5711-8d84-44db-86fd-cc00be0aae05,Player 22,a7d1e395-ccbb-4f5f-801d-40527c936434,1,0,0,,,,,,Off,Length,Forward Defence,Front Foot,,Thick Edge,No Movement,86.1,,,,,,257,179,-20.272338,69.9834685,,,No,No,,,,,,,,,,,,,RHB,RFM,20260318 11:05:29.913,0,Team B,Bowl,Bennett,Player 2,55d04266-6c80-43ee-9651-6af9dd9c8ca7,9,0,1,,1,1,,Umpire A,Match Drawn,,,Team A,Team B,Example Ground,,,,,analyst,,,,,,,Yes,2,No,1,5,7,1,1,1,6.86,6.75,,,5.3592321,-0.3869569,18.7674685,-0.6159695,2.0216888,18.7674685,-0.6159695,2.0216888,,,,,,,,,,,0.955955,0.631215,,,,,,-0.0014655,-0.1762812,0.6085519,,86.101655,6.483,-0.316,5.3592321,-0.3869569,-0.376560215,0.5639833606332089,,,,,,,,,,,,,,,,,,,,
County v UCCE,Team A v Team B,18/03/2026,11:00 UTC+0,1,2,3,9,Player 2,5a43a040-e1c4-4a01-a8e4-da77653f2f74,Player 22,11587e2c-87c9-4d47-9ae9-5a7c81cbb58e,1,0,0,,,,,,Leg Wide,Full Toss,Leg Glance,Front Foot,,Middled,No Movement,,,,,,,62,122,-65.86017699,34.72646574,,,No,No,,,,,,,,,,,,,LHB,RFM,20260318 11:06:03.49,0,Team B,Bowl,Bennett,Player 1,b5ea2f2f-97c7-49ac-bd0b-4cc900076238,10,0,2,,1,1,,Umpire A,Match Drawn,,,Team A,Team B,Example Ground,,,,,analyst,,,,,,,Yes,3,No,1,4,2,1,1,1,6.75,6.67,,,0.425,-0.442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.425,-0.442,,,-0.572697191,0.3019692673006113,,,,,,,,,,,,,,,,,,,,
County v UCCE,Team A v Team B,18/03/2026,11:00 UTC+0,1,2,4,10,Player 1,fdcd6944-2d79-47f1-bbc7-b618da310810,Player 22,23768203-0fc5-4ca5-ae07-fc5246f60dab,0,1,1,Wide,,,,,Off Wide,Back Of Length,No Shot,Back Foot,,Left,Out Swinger,,,,,,,172,118,-126.0088496,117.58842275600487,,,No,No,,,,,,,,,,,,,RHB,RFM,20260318 11:06:46.177,0,Team B,Bowl,Bennett,Player 2,204c21c5-db6e-4e87-966e-95d4c0f8810c,11,0,1,,1,1,,Umpire A,Match Drawn,,,Team A,Team B,Example Ground,,,,,analyst,,,,,,,No,4,No,1,5,7,1,1,1,6.67,7.33,,,7.488,-0.887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.488,-0.887,,,-1.095729127,1.022508024,,,,,,,,,,,,,,,,,,,,
County v UCCE,Team A v Team B,18/03/2026,11:00 UTC+0,1,2,5,10,Player 1,79211811-6f64-4f59-be10-999c8fee155d,Player 22,f939767e-effb-4a2e-9727-6b9e1a63f06f,2,0,0,,,,,,Line,Full,Flick,Front Foot,,Middled,No Movement,,,,,,,314,186,9.325663716814688,46.02582351453853,,,No,No,,,,,,,,,,,,,RHB,RFM,20260318 11:11:04.21,0,Team B,Bowl,Bennett,Player 2,6460c6a5-8d1a-480a-be58-be351ce2ed67,13,0,1,,1,1,,Umpire A,Match Drawn,,,Team A,Team B,Example Ground,,,,,analyst,,,,,,,Yes,4,No,1,6,9,1,1,1,7.33,7.8,,,4.22,-0.119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.22,-0.119,,,0.081092728,0.400224552,,,,,,,,,,,,,,,,,,,,
County v UCCE,Team A v Team B,18/03/2026,11:00 UTC+0,1,2,6,11,Player 1,95b9ce68-b4e5-4c93-896e-9872b9f28952,Player 22,5f6db6c4-7b3b-4263-a32c-da72558c1e0a,4,2,2,No Ball,,,,,Off Wide,Back Of Length,Cut,Back Foot,,Thick Edge,Out Swinger,,,,,,,81,28,-90.92212389,123.23810164348934,,,No,No,,,,,,,,,,,,,RHB,RFM,20260318 11:11:11.687,0,Team B,Bowl,Bennett,Player 2,1d5b350f-bfdf-4d46-aaa0-512a013221ec,19,0,1,,1,1,,Umpire A,Match Drawn,,,Team A,Team B,Example Ground,,,,,analyst,,,,,,,No,5,No,1,7,13,1,1,1,7.8,11.4,,,7.488,-0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.488,-0.62,,,-0.790627164,1.0716356664651248,,,,,,,,,,,,,,,,,,,,
County v UCCE,Team A v Team B,18/03/2026,11:00 UTC+0,1,2,7,11,Player 1,c7777e39-2cdf-41d7-a20a-b86add91e3ab,Player 22,dbc3065f-f43a-4d76-bd64-a6975bc6afba,0,0,0,,,,,,Line,Full,Off Side Drive,Front Foot,,Middled,No Movement,,,,,,,151,221,-3.205309735,46.02582351453853,,,No,No,,,,,,,,,,,,,RHB,RFM,20260318 11:11:16.357,0,Team B,Bowl,Bennett,Player 2,177cbf45-0291-40af-9b05-b8fe29ecb593,19,0,1,,1,1,,Umpire A,Match Drawn,,,Team A,Team B,Example Ground,,,,,analyst,,,,,,,Yes,5,No,1,8,13,1,1,1,11.4,10.36,,,4.547,-0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.547,-0.143,,,-0.027872259,0.400224552,,,,,,,,,,,,,,,,,,,,
County v UCCE,Team A v Team B,18/03/2026,11:00 UTC+0,1,2,8,12,Player 1,4c38d7fa-6169-435b-80d8-2ab8d11f144a,Player 22,67a5eb4f-3bc9-4f8d-a6d7-668494f0aa80,0,0,0,,,,,,Leg Wide,Length,Leg Glance,Front Foot,,Missed,No Movement,,,,,,,182,115,64.4619469,68.62453906447533,Play and Miss,,No,No,,,,,,,,,,,,,RHB,RFM,20260318 11:11:33.98,0,Team B,Bowl,Bennett,Player 2,b0bd6689-ef64-4261-b3c4-214a3c7bf91e,19,0,1,,1,1,,Umpire A,Match Drawn,,,Team A,Team B,Example Ground,,,,,analyst,,,,,,,Yes,6,No,1,9,13,1,1,1,10.36,9.5,,,6.296,0.371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.296,0.371,,,0.5605386687187409,0.5967351222997854,,,,,,,,,,,,,,,,,,,,
County v UCCE,Team A v Team B,18/03/2026,11:00 UTC+0,1,3,1,13,Player 2,f56e5d35-1152-437f-b1f3-4dfe418356c4,Player 20,e946982c-b210-4a1c-bf8d-93f64530c3f2,4,0,0,,,,,,Line,Length,Forward Defence,Front Foot,,Thick Edge,No Movement,,,,,,,252,21,9.325663716814688,76.15744424778777,"Around the Wicket,Edge",,Yes,No,,,,,,,,,,,,,LHB,RM,20260318 11:11:50.357,0,Team B,Bowl,Pavilion,Player 1,c19b1ffc-6222-494e-8f11-a171b7055e5b,23,0,2,,1,1,,Umpire A,Match Drawn,,,Team A,Team B,Example Ground,,,,,analyst,,,,,,,Yes,1,No,1,5,6,1,2,1,9.5,10.62,,,6.234,0.195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.234,0.195,,,0.081092728,0.6622386456329371,,,,,,,,,,,,,,,,,,,,
County v UCCE,Team A v Team B,18/03/2026,11:00 UTC+0,1,3,2,14,Player 2,5235a98e-9814-4c9a-b35e-503f5328e0b4,Player 20,ed8691e8-5870-463b-891a-68c2b12c8ea7,4,0,0,,,,,,Off,Back Of Length,Cut,Back Foot,,Middled,No Movement,,,,,,,318,75,61.95575221,100.63938609355252,Around the Wicket,,Yes,No,,,,,,,,,,,,,LHB,RM,20260318 11:11:51.613,0,Team B,Bowl,Pavilion,Player 1,1f4a489a-8970-415d-bbf1-f84eec56946c,27,0,2,,1,1,,Umpire A,Match Drawn,,,Team A,Team B,Example Ground,,,,,analyst,,,,,,,Yes,2,No,1,6,10,1,2,1,10.62,11.57,,,7.363,0.409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.363,0.409,,,0.5387456714120834,0.8751250964656742,,,,,,,,,,,,,,,,,,,,
